Identifier,Card_name,SSN,ZIP,Phone,Amount
1,Genevieve Gallegos,739-39-3392,49206-9961,398-130-6320,7905
2,Masako Holley,558-38-0053,67351-0382,127-223-3731,7012
3,Pearle Goodman,143-55-7149,65528-8418,532-778-1057,9244
4,Douglas Schmidt,663-89-0170,65814-3326,921-096-5093,7005
5,Russell Mills,809-22-1692,55296-4461,173-346-2172,4100
6,Donald Rex,475-54-3777,95814-6663,539-118-1847,3847
7,Lillian Lee,995-98-4404,94682-0594,317-105-2855,9556
8,Frances Arndt,887-52-8199,02825-6792,901-198-3286,8621
9,Jayson Burt,462-73-2543,72816-1404,648-378-1283,388
10,Barbara Hadiaris,841-12-5367,36471-0417,638-256-4495,6560
11,Robert Fuentez,320-86-0688,03842-8075,894-732-3204,6191
12,Howard Sumler,502-98-6156,88961-6391,612-198-4501,2366
13,Brenda Watts,385-43-3200,69930-5730,914-849-1294,5536
14,Richard Crandall,616-92-3875,71997-7730,316-835-7858,1893
15,Tyler Turner,681-76-9302,68671-7290,343-073-9673,4042
16,Maria Tangerman,137-63-4046,72860-7781,454-844-0024,1277
17,Margaret Hinson,310-36-2633,75781-3032,701-866-5011,3407
18,Terry Sease,989-24-7393,76957-0410,779-177-3452,6006
19,Bernardo Maguire,337-06-1285,79582-5829,118-547-7666,7157
20,Wanda Bundy,337-51-6511,27557-5045,899-768-8630,2234
21,Frances Reyes,532-81-0453,56417-1093,453-625-3712,2940
22,David Wood,249-79-4722,28731-1596,511-761-2284,1915
23,Robin Martinez,827-40-0730,21667-9935,709-376-8325,1316
24,Arturo Kaeo,680-27-4884,59396-2109,620-165-8120,7894
25,Malcolm Lafoe,597-49-1850,65156-5172,176-214-8174,880
26,Nikki Dwyer,727-87-5714,57701-2532,471-484-9758,5414
27,Dwayne Kye,191-86-7501,64060-4135,527-261-2878,1186
28,Suzanne Gillespie,472-29-9532,64389-5590,856-004-8017,7997
29,Jennifer Selby,145-13-5869,92989-8601,370-042-1169,1526
30,Darlene Ball,774-60-3128,94814-3672,715-671-0527,6641
31,Thomas Bullington,417-38-1624,05887-5911,913-353-9173,9093
32,Lee Schwartz,890-01-1116,66937-4323,594-871-7151,1767
33,Steven Ambler,978-86-9876,51621-8768,943-586-7973,3647
34,Derrick Blackmer,545-26-8115,85216-9752,898-127-3303,1634
35,John Carrier,309-63-9142,12608-5026,986-678-0809,5762
36,James Orlando,793-94-6642,17004-8257,478-399-4257,9127
37,Matthew Alvarado,631-61-2638,18305-2383,452-541-9778,8508
38,James Williams,258-01-8600,08368-5570,447-847-2299,4615
39,Herbert Delacruz,565-10-6764,25501-0726,436-154-1988,6910
40,Domingo Williams,741-90-5245,03536-8023,846-366-1497,4974
41,Stacy Dials,850-23-1313,61717-1278,376-360-6543,4321
42,Charles Mullin,680-99-5575,75191-8578,206-881-5140,2085
43,Louise Taylor,566-80-3161,06624-2283,698-145-6385,674
44,Patricia Lee,830-63-6880,82427-7643,617-290-4150,6692
45,Laura Maldonado,152-21-4103,73809-2219,466-167-9242,5324
46,Francisca Guillette,398-69-4824,73813-4232,157-114-3177,1834
47,Travis Gonzales,964-86-7139,10610-4956,584-095-5151,5373
48,Maurice Reed,897-76-0032,46759-2140,984-227-4173,9277
49,Edward Nichols,771-64-1128,61330-6073,905-454-2758,5418
50,Vera Johnson,583-38-7650,05604-5405,538-641-3335,6577
51,Savannah Goh,800-71-6008,13533-1650,666-535-8978,3270
52,Tara Luna,591-80-1146,81821-1804,565-192-7941,1330
53,Helen Howes,767-40-3450,40165-5052,818-134-7754,2866
54,Margarita Chandler,870-54-7592,76037-5985,592-572-5895,5771
55,Justin Carter,460-57-2372,23657-0117,800-625-8231,2685
56,Gloria Banks,896-89-7893,86133-7784,881-718-0543,9086
57,Jill Godbee,469-09-4213,53078-6629,315-169-1073,9870
58,Bradley Mckenzie,763-73-3428,82951-3506,821-864-5151,585
59,Latasha Martin,701-18-8611,11970-6845,487-510-6506,5180
60,Travis Cook,392-84-1329,34971-7968,737-538-6608,1025
61,Craig Owen,281-94-0070,56615-8075,136-606-5208,6834
62,Patricia Faye,993-72-9575,49384-2383,247-164-4297,8522
63,Verna Strawn,847-99-8813,56257-3370,753-719-2672,8930
64,Eric Payne,566-72-7911,99871-6949,696-173-7563,141
65,Eric Fothergill,384-24-0086,82322-3147,894-835-1637,6484
66,Luke Chamberlain,945-83-7124,35079-1175,708-755-5756,2075
67,Nikki Miller,460-39-7164,17937-7619,942-629-3672,9010
68,Sharon Kakani,148-90-0537,42185-5946,650-655-9990,1579
69,Clinton Baker,147-32-6935,38190-7371,513-329-2242,8001
70,Timothy Marcotte,888-84-1501,45035-4032,694-534-9949,3568
71,Mary Johnson,147-49-7698,21268-7556,555-540-1778,5993
72,Chance Kohl,711-27-1918,16718-5569,507-860-6147,4691
73,David Bollinger,373-03-2848,28717-8147,399-341-7241,153
74,Enrique Fields,585-78-0773,20230-1588,676-675-5227,7805
75,Robert Nebeker,168-03-4121,70344-9606,495-467-1742,6235
76,Holly Williams,249-57-2599,79238-7287,974-129-8151,528
77,Lora King,933-28-3919,95573-5211,595-453-2892,428
78,Nancy Coker,756-29-8840,22831-1434,880-220-2831,6205
79,Dorothy Sanchez,773-03-1008,86630-5180,821-116-5705,9900
80,John Russell,920-58-8005,21387-4462,231-804-9422,823
81,Eva Rusert,439-20-1178,46695-1911,628-187-9584,3858
82,Nelson Tuder,163-85-9766,14739-6207,762-571-7251,4489
83,Nora Norstrom,149-08-3742,42213-5370,327-229-9122,8653
84,Joan Mccollum,984-52-4328,40591-5461,517-482-2947,4170
85,Kevin Morrison,903-02-8100,99886-0025,145-637-8673,7595
86,William Schultz,367-13-9104,24801-4955,373-299-8199,4696
87,Naomi Wolfe,253-11-6067,83809-3057,196-814-0349,1879
88,John Murphy,842-41-8560,22250-9139,603-284-6991,3455
89,Jean Crewe,967-84-3288,20844-7787,140-735-4114,6701
90,Mark Rasmussen,967-69-3464,31554-1301,589-044-8953,1976
91,Tommie Pearson,674-66-4898,93454-8580,953-485-7895,7430
92,Donald Hasting,636-32-2588,34027-1733,693-543-5514,5516
93,Tammy Lewis,289-46-1104,06683-6208,770-704-7798,2743
94,Lillian Wei,203-37-6791,97546-1463,533-558-4515,7326
95,Lisa King,997-55-8332,51258-7600,736-040-1179,4491
96,Rachel Frazier,360-68-2508,63522-2308,189-234-3081,1084
97,Marty Cowart,213-48-6526,92652-2305,321-281-5181,5185
98,Cristina Zombory,223-24-0807,07563-1853,771-551-2866,7703
99,John Thompson,518-72-0509,19817-1962,656-415-3737,8680
100,John Smith,679-35-9384,52960-9954,349-526-1447,4026
101,Amber Mccoy,850-41-3866,12309-4610,123-784-5999,9195
